author,cor,n,PA_measure,PA_obj_subj,Kinesiophobia_measure,PA_outcome,Age,Prop_women,Health_status,Pain
"Altug, 2016",-0.096,112,Questionnaire,Questionnaire,TSK,Total_PA,45,0.65,Chronic_pain,34.5
"Ayedemir, 2022",-0.773,37,Questionnaire,Questionnaire,TSK,Total_PA,58.8,0.68,Arthritis,52
Baday-Keskin 2022,-0.12,88,Questionnaire,Questionnaire,TSK,Total_PA,52,0.24,Arthritis,48
"Carvalho, 2017a",-0.13,119,Accelerometer,Accelero_pedom,TSK,MVPA,39.1,0.69,Chronic_pain,67
"Dabek, 2020a",-0.428,72,Questionnaire,Questionnaire,TSK_Heart,Total_PA,,,CVD,
"Dabek, 2020b",-0.868,18,Questionnaire,Questionnaire,TSK_Heart,Total_PA,,,Neurological_condition,
"Dabek, 2020c",-0.523,130,Questionnaire,Questionnaire,TSK_Heart,Total_PA,,,CVD,
"Dabek, 2020d",-0.41,119,Questionnaire,Questionnaire,TSK_Heart,Total_PA,,,CVD,
"Dabek, 2020e",-0.201,27,Questionnaire,Questionnaire,TSK_Heart,Total_PA,,,CVD,
"Dabek, 2020f",-0.563,86,Questionnaire,Questionnaire,TSK_Heart,Total_PA,,,CVD,
"Dabek, 2020g",-0.663,15,Questionnaire,Questionnaire,TSK_Heart,Total_PA,,,CVD,
"Demirbuken, 2016a",-0.318,64,Questionnaire,Questionnaire,TSK,Total_PA,,1,Chronic_pain,68.8
"Demirbuken, 2016b",-0.043,35,Questionnaire,Questionnaire,TSK,MVPA,,0,Chronic_pain,55.9
"Helmus, 2012",-0.05,53,Accelerometer,Accelero_pedom,TSK,Counts_day,39.9,0.7,Chronic_pain,58
"Kilinc, 2019",-0.693,200,Questionnaire,Questionnaire,TSK,Total_PA,53.2,0.6,Arthritis,50.2
"Koho, 2011",0.1,93,Questionnaire,Questionnaire,TSK,Total_PA,44,0.65,Chronic_pain,64.4
"Marques-Sule, 2022",-0.32,117,Questionnaire,Questionnaire,TSK,Total_PA,56,0.44,CVD,
"Miller, 2018",-0.54,52,Accelerometer,Accelero_pedom,TSK,Steps_day,67.4,0.62,Healthy,5
"Minetama, 2022",-0.229,71,Pedometer,Accelero_pedom,TSK,Steps_day,71.6,0.51,Chronic_pain,62
Navarro-Ledesma 2022,-0.059,41,Questionnaire,Questionnaire,TSK,Total_PA,52.6,1,Chronic_pain,
"Norte, 2019",-0.312,77,Questionnaire,Questionnaire,TSK,Total_PA,21.6,0.45,Surgery,91.4
"Ozer, 2022",-0.889,62,Questionnaire,Questionnaire,TSK,Total_PA,36.5,0.48,Pulmonary_condition,
"Pedler, 2018",0.14,103,Accelerometer,Accelero_pedom,TSK,Counts_day,39.7,0.72,Acute_pain,40
"Sahin, 2021",-0.315,98,Questionnaire,Questionnaire,TSK,Total_PA,58.1,0.36,CVD,60.1
"Selcuk, 2020",-0.247,90,Questionnaire,Questionnaire,TSK,Total_PA,60.9,0.7,Arthritis,40.5
"Sertel, 2021",-0.021,163,Questionnaire,Questionnaire,TSK,MVPA,71.4,0.47,Chronic_pain,
"Spaderna, 2020",-0.28,61,Accelerometer,Accelero_pedom,FActS,Kcal_day,67.5,0.21,CVD,
"Wasiuk-Zowada, 2022",-0.363,80,Questionnaire,Questionnaire,TSK,Total_PA,45.5,0.75,Neurological_condition,32.85
"Zelle, 2016",-0.22,487,Questionnaire,Questionnaire,TSK,Total_PA,50.9,0.43,Surgery,
"Priore, 2020",-0.251,50,Questionnaire,Questionnaire,TSK,Total_PA,22.4,0.74,Chronic_pain,
"Strandberg, 2022",-0.084,451,Accelerometer,Questionnaire,TSK,Counts_day,,,Cancer,
Assadourian 2020,-0.022,123,Questionnaire,Accelero_pedom,TSK,Low-vs-High,,,Chronic_pain,67
Luthi 2022,0.067,433,Questionnaire,Questionnaire,TSK,Total_PA,43,0.18,Chronic_pain,
Baez 2020,0.181,40,Pedometer,Accelero_pedom,TSK,Steps_day,24.3,0.63,Surgery,
Bernard 2015 ,-0.055,121,Questionnaire,Questionnaire,TSK,Total_PA,65.5,1,Healthy,
Ozdemir 2021,-0.007,101,Questionnaire,Questionnaire,TSK,Total_PA,34,0.58,Healthy,30.7
Uritani 2020,-0.163,167,Accelerometer,Accelero_pedom,BFOMSO,Counts_day,62.2,0.63,Arthritis,57
Saulicz 2016,-0.577,105,Questionnaire,Questionnaire,KCS,Total_PA,53,1,Healthy,
Knapik 2019,-0.8,135,Questionnaire,Questionnaire,TSK,Total_PA,71.9,0.44,CVD,
Roaldsen 2009,-0.39,98,Questionnaire,Questionnaire,FABQ,Low-vs-High,76,0.62,CVD,26.5
