author,cluster,cor,z,var.z,n,Health_status,PA_objectivity,FoM_measure,PA_measure,PA_outcome,Age,Prop_women,Pain,p-value,cor_id,quality
"Alamam, 2019",sample_1,-0.17,-0.171666664,0.010309278,100,Chronic pain,Self-reported measure,FABQ,IPAQ,MET-min/week ,40,0.62,48,0.116,id_1,7
"Alschuler, 2011",sample_2,-0.48,-0.522984278,0.058823529,20,Chronic pain,Device-based measure,TSK_17,Accelerometer,Counts/min,49.1,0.45,48.7,0.03,id_2,6
"Altug, 2016",sample_3,-0.096,-0.096296554,0.009174312,112,Chronic pain,Self-reported measure,TSK_17,IPAQ,MET-min/week ,45,0.65,34.5,0.03,id_3,8
"Alzahrani, 2021",sample_4,0.22,0.223656109,0.043478261,26,Chronic pain,Device-based measure,TSK_17,Accelerometer,MET-min/week ,43.6,0.42,43,,id_4,8.8
"Alzahrani, 2021",sample_4,-0.05,-0.050041729,0.043478261,26,Chronic pain,Device-based measure,TSK_17,Accelerometer,MET-min/week ,43.6,0.42,43,,id_5,8.8
"Alzahrani, 2021",sample_4,-0.21,-0.213171347,0.043478261,26,Chronic pain,Device-based measure,TSK_17,Accelerometer,Steps/day,43.6,0.42,43,,id_6,8.8
"Assadourian, 2020",sample_5,-0.022,-0.02200355,0.008333333,123,Chronic pain,Self-reported measure,TSK_17,Diary,Active time,49,0.6,67,0.313,id_7,8
"Aydemir, 2022",sample_6,-0.773,-1.027739144,0.029411765,37,Arthritis,Self-reported measure,TSK_17,UCLA,Score,58.8,0.68,52,0.813,id_8,7
"Aykut Selcuk, 2020",sample_7,-0.247,-0.252215359,0.015625,67,Arthritis,Self-reported measure,TSK_17,IPAQ,MET-min/week ,60.6,1,46,<0.001,id_9,7
"Aykut Selcuk, 2020",sample_7,-0.309,-0.319439471,0.038461538,29,Arthritis,Self-reported measure,TSK_17,IPAQ,MET-min/week ,61.6,0,29,<0.05,id_10,7
"Baday-Keskin, 2022",sample_8,-0.12,-0.120581028,0.011764706,88,Arthritis,Self-reported measure,TSK_17,IPAQ,MET-min/week ,52,0.76,48,<0.05,id_11,7
